Exp2 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 30s 12 0.033333 scrambled-407.jpg
1 30s 13 0.033333 scrambled-587.jpg
1 30s 14 0.033333 scrambled-1116.jpg
1 30s 15 0.033333 scrambled-408.jpg
1 30s 16 0.033333 scrambled-1303.jpg
1 30s 17 0.033333 scrambled-121.jpg
1 30s 18 0.033333 scrambled-1424.jpg
1 30s 19 0.033333 scrambled-1123.jpg
1 30s 20 0.033333 scrambled-750.jpg
1 30s 21 0.033333 scrambled-1198.jpg
1 30s 22 0.033333 scrambled-106.jpg
1 30s 23 0.033333 scrambled-1063.jpg
1 30s 24 0.033333 scrambled-338.jpg
1 30s 25 0.033333 scrambled-61.jpg
1 30s 26 0.033333 scrambled-60.jpg
1 30s 27 0.033333 scrambled-165.jpg
1 30s 28 0.033333 scrambled-725.jpg
1 30s 29 0.033333 scrambled-1196.jpg
1 30s 30 0.033333 scrambled-174.jpg
1 30s 31 0.033333 scrambled-874.jpg
1 30s 32 0.033333 scrambled-466.jpg
1 30s 33 0.033333 scrambled-905.jpg
1 30s 34 0.033333 scrambled-228.jpg
1 30s 35 0.033333 scrambled-269.jpg
1 30s 36 0.033333 scrambled-355.jpg
1 30s 37 0.033333 scrambled-972.jpg
1 30s 38 0.033333 scrambled-836.jpg
1 30s 39 0.033333 scrambled-1182.jpg
1 30s 40 0.033333 scrambled-930.jpg
1 30s 41 0.033333 scrambled-778.jpg
2 2s 54 0.033333 scrambled-649.jpg
2 2s 54.0667 0.033333 scrambled-48.jpg
2 2s 54.1333 0.033333 scrambled-1040.jpg
2 2s 54.2 0.033333 scrambled-1344.jpg
2 2s 54.2667 0.033333 scrambled-1363.jpg
2 2s 54.3333 0.033333 scrambled-637.jpg
2 2s 54.4 0.033333 scrambled-434.jpg
2 2s 54.4667 0.033333 scrambled-256.jpg
2 2s 54.5333 0.033333 scrambled-623.jpg
2 2s 54.6 0.033333 scrambled-526.jpg
2 2s 54.6667 0.033333 scrambled-1337.jpg
2 2s 54.7333 0.033333 scrambled-368.jpg
2 2s 54.8 0.033333 scrambled-1269.jpg
2 2s 54.8667 0.033333 scrambled-1374.jpg
2 2s 54.9333 0.033333 scrambled-1260.jpg
2 2s 55 0.033333 scrambled-1213.jpg
2 2s 55.0667 0.033333 scrambled-835.jpg
2 2s 55.1333 0.033333 scrambled-652.jpg
2 2s 55.2 0.033333 scrambled-139.jpg
2 2s 55.2667 0.033333 scrambled-704.jpg
2 2s 55.3333 0.033333 scrambled-728.jpg
2 2s 55.4 0.033333 scrambled-34.jpg
2 2s 55.4667 0.033333 scrambled-221.jpg
2 2s 55.5333 0.033333 scrambled-69.jpg
2 2s 55.6 0.033333 scrambled-1309.jpg
2 2s 55.6667 0.033333 scrambled-410.jpg
2 2s 55.7333 0.033333 scrambled-880.jpg
2 2s 55.8 0.033333 scrambled-1091.jpg
2 2s 55.8667 0.033333 scrambled-958.jpg
2 2s 55.9333 0.033333 scrambled-1146.jpg
3 15s 68 0.033333 scrambled-1189.jpg
3 15s 68.5 0.033333 scrambled-95.jpg
3 15s 69 0.033333 scrambled-1292.jpg
3 15s 69.5 0.033333 scrambled-427.jpg
3 15s 70 0.033333 scrambled-1421.jpg
3 15s 70.5 0.033333 scrambled-1391.jpg
3 15s 71 0.033333 scrambled-267.jpg
3 15s 71.5 0.033333 scrambled-379.jpg
3 15s 72 0.033333 scrambled-67.jpg
3 15s 72.5 0.033333 scrambled-883.jpg
3 15s 73 0.033333 scrambled-1232.jpg
3 15s 73.5 0.033333 scrambled-499.jpg
3 15s 74 0.033333 scrambled-559.jpg
3 15s 74.5 0.033333 scrambled-715.jpg
3 15s 75 0.033333 scrambled-912.jpg
3 15s 75.5 0.033333 scrambled-977.jpg
3 15s 76 0.033333 scrambled-1332.jpg
3 15s 76.5 0.033333 scrambled-322.jpg
3 15s 77 0.033333 scrambled-1273.jpg
3 15s 77.5 0.033333 scrambled-340.jpg
3 15s 78 0.033333 scrambled-328.jpg
3 15s 78.5 0.033333 scrambled-1248.jpg
3 15s 79 0.033333 scrambled-146.jpg
3 15s 79.5 0.033333 scrambled-1108.jpg
3 15s 80 0.033333 scrambled-844.jpg
3 15s 80.5 0.033333 scrambled-825.jpg
3 15s 81 0.033333 scrambled-886.jpg
3 15s 81.5 0.033333 scrambled-951.jpg
3 15s 82 0.033333 scrambled-366.jpg
